"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795120444959330405","Mon May 27 15:50:40 +0000 2024","4625","Setelah UKT terbitlah Tapera. Ini Indonesia negara BU apa gimana sih. Biaya nambah mulu sejahtera kagak.","1795120444959330405","","","in","Busan, Republic of Korea","103","74","1947","https://x.com/primawansatrio/status/1795120444959330405","104823513","primawansatrio"
"1795018802436120682","Mon May 27 09:06:46 +0000 2024","3724","BREAKING: Kemendikbudristek memutuskan untuk membatalkan kenaikan UKT untuk tahun ini. https://t.co/j1ZJiKtobk","1795018802436120682","https://pbs.twimg.com/amplify_video_thumb/1795018483744587776/img/QKwHz4e3eNrJmYX3.jpg","","in","Kutub Selatan","585","226","569","https://x.com/timpenguinnas/status/1795018802436120682","1457753196269473793","timpenguinnas"
"1794406200370679882","Sat May 25 16:32:31 +0000 2024","39281"," km tinggi ya tinggian UKT https://t.co/M4f9RIHf9x","1794406200370679882","https://pbs.twimg.com/media/GOcC7fLaoAA5XG0.jpg","","in","pluto","412","175","6496","https://x.com/DepreschoolBoy/status/1794406200370679882","1576002900383649792","DepreschoolBoy"
"1795010806720913441","Mon May 27 08:35:00 +0000 2024","5203","PTN! ALERTA ALERTA MEMANGGIL SELURUH REKAN REKAN MAHASISWA DAN CALON MAHASISWA UNTUK MENGAWAL PEMBATALAN KENAIKAN UKT TA 2024-2025 https://t.co/Kfzi89GpRt","1795010806720913441","https://pbs.twimg.com/media/GOkjbitaMAAuZBq.jpg","","in","RULES 👉","451","357","566","https://x.com/sbmptnfess/status/1795010806720913441","1205629250423779328","sbmptnfess"
"1795062598980841572","Mon May 27 12:00:48 +0000 2024","8968","Dikasih keributan UKT dibobol dari pintu belakang.","1795062598980841572","","","in","","105","152","3859","https://x.com/Dandhy_Laksono/status/1795062598980841572","159919812","Dandhy_Laksono"
"1795008589184094293","Mon May 27 08:26:11 +0000 2024","2476","Sebelum beneran terbukti ada penurunan di tagihan UKT kawal terus teman-teman. Tidak hanya semester ini. Semester depan tahun depan dan berikutnya juga. Jangan sampai berhenti di pernyataan media saja.","1795008589184094293","","","in","Michuhol-gu, Republic of Korea","14","49","1409","https://x.com/ardisatriawan/status/1795008589184094293","170542374","ardisatriawan"
"1794329848045088863","Sat May 25 11:29:07 +0000 2024","5976","Hanya dalam setahun saja saya sudah menerima 3 surat pengunduran diri dari mahasiswa yang tak kuat bayar UKT. Mereka semua dari kelas menengah. Sedih rasanya kalau ada yang mereduksi masalah ini UKT menjadi soal like-dislike politik belaka.","1794329848045088863","","","in","Surabaya, Indonesia","101","69","2557","https://x.com/ariomazda/status/1794329848045088863","65898712","ariomazda"
"1794194821047079366","Sat May 25 02:32:34 +0000 2024","9770","yang ga sopan mah first date langsung suruh bayarin UKT 1 semester","1794194821047079366","","","in","","125","41","1425","https://x.com/vesicaafellea/status/1794194821047079366","1528313011051515905","vesicaafellea"
"1562703432380690432","Thu Aug 25 07:28:26 +0000 2022","27006","mau pindah tapi baru bayar ukt https://t.co/ftL1D0N9A8","1562703432380690432","https://pbs.twimg.com/media/Fa_WerhVUAADDxU.jpg","","in","대전","392","577","1860","https://x.com/kegblgnunfaedh/status/1562703432380690432","1172167188800655360","kegblgnunfaedh"
"1792894441319198996","Tue May 21 12:25:19 +0000 2024","1935","UKT: Udahlah Kita Tapek Apalagi apalagi~ | Narasi Daily https://t.co/Ucsi7em7cH","1792894441319198996","https://pbs.twimg.com/media/GOGj_OdbwAAuLy-.jpg","","in","","26","35","853","https://x.com/NarasiNewsroom/status/1792894441319198996","1158355819512991747","NarasiNewsroom"
